timestamp,session_id,function,phase,duration_sec
2025-11-17 01:42:20.493882,jl8f7k,websocket_endpoint,receive,0.003008
2025-11-17 01:42:20.497886,jl8f7k,client,update_english,0.006024
2025-11-17 01:42:20.484880,jl8f7k,punctuate,update_punctuated,0.020002
2025-11-17 01:42:20.505884,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:42:20.509887,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:42:13.376573,jl8f7k,websocket_endpoint,receive,147.597082
2025-11-17 01:44:40.974656,jl8f7k,client,update_english,0.019796
2025-11-17 01:44:42.773159,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:42.774139,jl8f7k,websocket_endpoint,receive,1.754909
2025-11-17 01:44:44.539162,jl8f7k,websocket_endpoint,receive,0.001954
2025-11-17 01:44:44.542116,jl8f7k,client,update_english,0.005999
2025-11-17 01:44:44.530047,jl8f7k,punctuate,update_punctuated,0.020072
2025-11-17 01:44:44.551118,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:44.554124,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:40.995381,jl8f7k,websocket_endpoint,receive,7.042792
2025-11-17 01:44:48.039166,jl8f7k,client,update_english,0.011921
2025-11-17 01:44:49.561988,jl8f7k,websocket_endpoint,receive,0.001995
2025-11-17 01:44:49.564979,jl8f7k,websocket_endpoint,receive,0.154608
2025-11-17 01:44:49.738089,jl8f7k,websocket_endpoint,receive,0.001998
2025-11-17 01:44:49.741087,jl8f7k,client,update_english,0.006034
2025-11-17 01:44:49.720588,jl8f7k,punctuate,update_punctuated,0.027505
2025-11-17 01:44:49.750104,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:49.753095,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:54.740076,jl8f7k,websocket_endpoint,receive,0.000997
2025-11-17 01:44:54.741073,jl8f7k,websocket_endpoint,receive,0.001008
2025-11-17 01:44:54.743280,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:44:59.755481,jl8f7k,websocket_endpoint,receive,0.003164
2025-11-17 01:44:59.758644,jl8f7k,websocket_endpoint,receive,0.001995
2025-11-17 01:44:59.760639,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:45:04.788636,jl8f7k,websocket_endpoint,receive,0.001957
2025-11-17 01:45:04.791594,jl8f7k,websocket_endpoint,receive,0.001003
2025-11-17 01:45:04.793586,jl8f7k,websocket_endpoint,receive,0.000508
2025-11-17 01:44:48.052149,jl8f7k,websocket_endpoint,receive,20.205551
2025-11-17 01:45:08.259758,jl8f7k,client,update_english,0.027175
